"","D1","D2_d0","D2_d1","D2_d2","D2_d3","D2_d4","D3_d0","D3_d2","D3_d3","D3_d4","D4_d0","D4_d1","D4_d3","D6_d0","D6_d1","D6_d2","D6_d3","D6_d4","D6_d5","D7_d0","D7_d1","D7_d2","D7_d4","D7_d5","D8_d0","D8_d1","D8_d2","D8_d3","D8_d4","D8_d5","D9_d0","D9_d1","D9_d2","D9_d3","D9_d4","D9_d5"
"1,2-Benzenediol, O-(2-furoyl)-O'-pentadedecafluorooctanoyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.684559e-05,5.076792e-05,0,0,0,0,0,0
"1,2-Benzenediol, O-(4-methoxybenzoyl )-O'-(2-furoyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002618747,0,0,0,0,0,0.001180313
"1,2-Benzenediol, o-(4-methoxybenzoyl)-o'-(2,2,3,3,4,4,4-heptafluorobutyryl)-",0,0,0,0,0.0071183143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002695939,0,0,0,0,0,0,0
"1,2-Benzenediol, O-(5-bromovaleryl)-O'-(1-naphthoyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.758847e-05
"1,2-Benzenediol, O-(5-chlorovaleryl)-O'-(1-naphthoyl)-",0,0,0,0,0,0.01213666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenediol, O-acetoxyacetyl-O'-(4-butylbenzoyl)-",0,0,0,0,0,0.000179087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenediol, O,O'-di(2,6-difluorobenzoyl)-",0,0,0,0,0,7.037978e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenediol, O,O'-di(4-methoxybenzoyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002037053,0,0,0,0,0,0,0
"1,2-Ethanediamine, N-(2-aminoethyl)-",0,0,0,0,0,0.01381436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003683543,0,0,0,0,0,0
"1,2-Ethanediamine, N-ethyl-N'-methyl-",0,0,0,0,0,0.05622647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
